Unnamed: 0,Order Size,Order Division,Current Position,Shelves,Division Path,Division Path Cost,Shelf Path,Shelf Path Cost,Total Path,Total Path Cost
56,2,7,8,"[5, 38]","[8, 4, 2, 1, 3, 7]",80,"[1, 2, 5, 2, 4, 9, 19, 38, 19, 9, 4, 2, 1]",14,"[8, 4, 2, 1, 3, 7, 1, 2, 5, 2, 4, 9, 19, 38, 19, 9, 4, 2, 1]",94
8,3,6,15,"[18, 35, 61]","[15, 7, 3, 6]",70,"[1, 2, 4, 9, 18, 9, 4, 8, 17, 35, 17, 8, 4, 2, 1, 3, 7, 15, 30, 61, 30, 15, 7, 3, 1]",26,"[15, 7, 3, 6, 1, 2, 4, 9, 18, 9, 4, 8, 17, 35, 17, 8, 4, 2, 1, 3, 7, 15, 30, 61, 30, 15, 7, 3, 1]",96
85,2,2,6,"[28, 50]","[6, 3, 1, 2]",80,"[1, 3, 7, 14, 28, 14, 7, 3, 6, 12, 25, 50, 25, 12, 6, 3, 1]",18,"[6, 3, 1, 2, 1, 3, 7, 14, 28, 14, 7, 3, 6, 12, 25, 50, 25, 12, 6, 3, 1]",98
55,3,8,11,"[6, 46, 47]","[11, 5, 2, 4, 8]",80,"[1, 3, 6, 3, 1, 2, 5, 11, 23, 46, 23, 47, 23, 11, 5, 2, 1]",18,"[11, 5, 2, 4, 8, 1, 3, 6, 3, 1, 2, 5, 11, 23, 46, 23, 47, 23, 11, 5, 2, 1]",98
87,3,4,11,"[37, 49, 53]","[11, 5, 2, 4]",70,"[1, 2, 4, 9, 18, 37, 18, 9, 4, 2, 1, 3, 6, 12, 24, 49, 24, 12, 6, 13, 26, 53, 26, 13, 6, 3, 1]",28,"[11, 5, 2, 4, 1, 2, 4, 9, 18, 37, 18, 9, 4, 2, 1, 3, 6, 12, 24, 49, 24, 12, 6, 13, 26, 53, 26, 13, 6, 3, 1]",98
72,2,5,7,"[22, 36]","[7, 3, 1, 2, 5]",80,"[1, 2, 5, 11, 22, 11, 5, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",18,"[7, 3, 1, 2, 5, 1, 2, 5, 11, 22, 11, 5, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",98
96,3,7,13,"[33, 57, 60]","[13, 6, 3, 7]",70,"[1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1, 3, 7, 14, 28, 57, 28, 14, 7, 15, 30, 60, 30, 15, 7, 3, 1]",28,"[13, 6, 3, 7, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1, 3, 7, 14, 28, 57, 28, 14, 7, 15, 30, 60, 30, 15, 7, 3, 1]",98
10,1,9,7,[30],"[7, 3, 1, 2, 4, 9]",90,"[1, 3, 7, 15, 30, 15, 7, 3, 1]",10,"[7, 3, 1, 2, 4, 9, 1, 3, 7, 15, 30, 15, 7, 3, 1]",100
31,1,4,15,[44],"[15, 7, 3, 1, 2, 4]",90,"[1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",12,"[15, 7, 3, 1, 2, 4, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",102
39,3,12,7,"[6, 43, 44]","[7, 3, 6, 12]",80,"[1, 3, 6, 3, 1, 2, 5, 10, 21, 43, 21, 10, 5, 11, 22, 44, 22, 11, 5, 2, 1]",22,"[7, 3, 6, 12, 1, 3, 6, 3, 1, 2, 5, 10, 21, 43, 21, 10, 5, 11, 22, 44, 22, 11, 5, 2, 1]",102
